goos: darwin
goarch: arm64
pkg: skeen-kv
cpu: Apple M4
BenchmarkSkeenDestinationOverhead/N=5/mode=strengthened/dst=2-10     	   10000	    348944 ns/op	    7210 B/op	      71 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=strengthened/dst=2-10     	   10000	    351120 ns/op	    7210 B/op	      71 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=strengthened/dst=2-10     	   10000	    351288 ns/op	    7212 B/op	      71 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=strengthened/dst=2-10     	   10000	    350262 ns/op	    7212 B/op	      71 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=strengthened/dst=2-10     	   10000	    349976 ns/op	    7210 B/op	      71 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=strengthened/dst=2-10     	   10000	    348892 ns/op	    7212 B/op	      71 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=strengthened/dst=2-10     	   10000	    351070 ns/op	    7213 B/op	      71 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=strengthened/dst=3-10     	   10000	    607062 ns/op	   12301 B/op	     105 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=strengthened/dst=3-10     	   10000	    609010 ns/op	   12292 B/op	     104 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=strengthened/dst=3-10     	   10000	    606685 ns/op	   12288 B/op	     104 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=strengthened/dst=3-10     	   10000	    606259 ns/op	   12292 B/op	     104 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=strengthened/dst=3-10     	   10000	    606177 ns/op	   12296 B/op	     104 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=strengthened/dst=3-10     	   10000	    719392 ns/op	   12280 B/op	     104 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=strengthened/dst=3-10     	   10000	    603307 ns/op	   12291 B/op	     104 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=strengthened/dst=3-10     	   10000	    603094 ns/op	   12291 B/op	     104 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=strengthened/dst=3-10     	   10000	    609212 ns/op	   12298 B/op	     104 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=strengthened/dst=3-10     	   10000	    607954 ns/op	   12290 B/op	     104 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=strengthened/dst=5-10     	   10000	   1191976 ns/op	   26326 B/op	     176 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=strengthened/dst=5-10     	   10000	   1194403 ns/op	   26319 B/op	     176 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=strengthened/dst=5-10     	   10000	   1190235 ns/op	   26326 B/op	     176 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=strengthened/dst=5-10     	   10000	   1191159 ns/op	   26315 B/op	     176 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=strengthened/dst=5-10     	   10000	   1196715 ns/op	   26318 B/op	     176 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=strengthened/dst=5-10     	   10000	   1196827 ns/op	   26321 B/op	     176 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=strengthened/dst=5-10     	   10000	   1193905 ns/op	   26320 B/op	     176 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=strengthened/dst=5-10     	   10000	   1191020 ns/op	   26319 B/op	     176 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=strengthened/dst=5-10     	   10000	   1190547 ns/op	   26324 B/op	     176 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=strengthened/dst=5-10     	   10000	   1197986 ns/op	   26312 B/op	     176 allocs/op
BenchmarkOriginalSinglePartitionPut-10                               	   10000	    139149 ns/op	    2112 B/op	      29 allocs/op
BenchmarkOriginalSinglePartitionPut-10                               	   10000	    139376 ns/op	    2112 B/op	      29 allocs/op
BenchmarkOriginalSinglePartitionPut-10                               	   10000	    139685 ns/op	    2112 B/op	      29 allocs/op
BenchmarkOriginalSinglePartitionPut-10                               	   10000	    140440 ns/op	    2112 B/op	      29 allocs/op
BenchmarkOriginalSinglePartitionPut-10                               	   10000	    139444 ns/op	    2112 B/op	      29 allocs/op
BenchmarkOriginalSinglePartitionPut-10                               	   10000	    139933 ns/op	    2112 B/op	      29 allocs/op
BenchmarkOriginalSinglePartitionPut-10                               	   10000	    138406 ns/op	    2112 B/op	      29 allocs/op
BenchmarkOriginalSinglePartitionPut-10                               	   10000	    138909 ns/op	    2112 B/op	      29 allocs/op
BenchmarkOriginalSinglePartitionPut-10                               	   10000	    138621 ns/op	    2112 B/op	      29 allocs/op
BenchmarkOriginalSinglePartitionPut-10                               	   10000	    138851 ns/op	    2112 B/op	      29 allocs/op
BenchmarkStrengthenedSinglePartitionPut-10                           	   10000	    139441 ns/op	    2256 B/op	      30 allocs/op
BenchmarkStrengthenedSinglePartitionPut-10                           	   10000	    140030 ns/op	    2256 B/op	      30 allocs/op
BenchmarkStrengthenedSinglePartitionPut-10                           	   10000	    139182 ns/op	    2256 B/op	      30 allocs/op
BenchmarkStrengthenedSinglePartitionPut-10                           	   10000	    139024 ns/op	    2256 B/op	      30 allocs/op
BenchmarkStrengthenedSinglePartitionPut-10                           	   10000	    139194 ns/op	    2256 B/op	      30 allocs/op
BenchmarkStrengthenedSinglePartitionPut-10                           	   10000	    139576 ns/op	    2256 B/op	      30 allocs/op
BenchmarkStrengthenedSinglePartitionPut-10                           	   10000	    139307 ns/op	    2256 B/op	      30 allocs/op
BenchmarkStrengthenedSinglePartitionPut-10                           	   10000	    139261 ns/op	    2256 B/op	      30 allocs/op
BenchmarkStrengthenedSinglePartitionPut-10                           	   10000	    140656 ns/op	    2256 B/op	      30 allocs/op
BenchmarkStrengthenedSinglePartitionPut-10                           	   10000	    140054 ns/op	    2256 B/op	      30 allocs/op
PASS
ok  	skeen-kv	720.718s
